년도,수행부처,사이버과정명
2020,청렴연수원,(사)공직자를 위한 신목민심서
2020,청렴연수원,(사) 청렴판단력 키우기
2020,청렴연수원,(사)역사속에서 찾은 청렴이야기
2020,청렴연수원,부패대응능력 향상과정
2020,청렴연수원,(사)행정심판 실무 입문
2020,청렴연수원,(사)청탁금지법의 이해
2020,청렴연수원,(사)이순신장군의 청렴리더십
2020,청렴연수원,(사)알기쉬운 공직자 행동강령
2020,청렴연수원,(사)세상을 바꾸는 힘 공익신고
2020,청렴연수원,(사)사례로 배우는 청탁금지법
2020,청렴연수원,(사)사례로 배우는 부패영향평가
2020,청렴연수원,(사)부패앞에 단호해지기
2020,청렴연수원,(사)부패상황 자각하기
2020,청렴연수원,(사)반부패 청렴정책의 이해
2020,청렴연수원,(사)권익구제와 옴부즈만
2020,청렴연수원,(사)공직자를 위한 신목민심서
2020,청렴연수원,(사) 청렴판단력 키우기
2020,충북대학교,2020 세종청사 아카데미 : 인식의 전환을 위한 인문학
2020,충북대학교,2020 세종청사 아카데미 : 인식의 전환을 위한 인문학
2020,통계교육원,(사)통계기초 및 활용과정
2020,통계교육원,(사)통계학의 이해
2020,통계교육원,(사)통계기초 및 활용과정
2020,통계교육원,(사)통계학의 이해
2020,통일교육원,(사)북한사회와 주민생활 Ⅱ
2020,통일교육원,(사)역사 속 통일의 현대사적 의미
2020,통일교육원,"(사)통일문제, 어떻게 볼 것인가"
2020,통일교육원,함께가는 통일의 길
2020,통일교육원,(사)함께가는 통일의 길
2020,통일교육원,(사)북한사회와 주민생활
2020,통일교육원,(사)독일통일 다시보기
2020,통일교육원,(사)남북협상의 이해
2020,통일교육원,(사)공공 통일교육
2020,통일교육원,(사) 코리안 디아스포라와 통일
2020,통일교육원,(사) 세 가지 키워드로 본 한반도의 길
2020,통일교육원,함께가는 통일의 길
2020,통일교육원,(사)함께가는 통일의 길
2020,통일교육원,"(사)통일문제, 어떻게 볼 것인가"
2020,통일교육원,(사)역사 속 통일의 현대사적 의미
2020,통일교육원,(사)북한사회와 주민생활 Ⅱ
2020,통일교육원,(사)북한사회와 주민생활
2020,통일교육원,(사)독일통일 다시보기
2020,통일교육원,(사)남북협상의 이해
2020,통일교육원,(사)공공 통일교육
2020,통일교육원,(사) 코리안 디아스포라와 통일
2020,통일교육원,(사) 세 가지 키워드로 본 한반도의 길
2020,한국개발연구원,2020년 상반기 세종청사 아카데미
2020,한국개발연구원,2020년 상반기 세종청사 아카데미
2020,한국무역협회,국제무역사(온라인)
2020,한국무역협회,국제무역사(온라인)
2020,한국보건복지인력개발원,방역관리자업무교육
2020,한국보건복지인력개발원,방역관리자업무교육
2020,한국양성평등교육진흥원,양성평등한 사회 만들기
2020,한국양성평등교육진흥원,양성평등과 성 주류화 패러다임
2020,한국양성평등교육진흥원,공무원 성인지 사이버교육
2020,한국양성평등교육진흥원,양성평등한 사회 만들기
2020,한국양성평등교육진흥원,양성평등과 성 주류화 패러다임
2020,한국양성평등교육진흥원,공무원 성인지 사이버교육
2020,,중앙행정기관 성고충담당자 워크숍
2020,,중앙행정기관 성고충담당자 워크숍
2021,공군본부,공군 아동학대예방 원격교육_11차수
2021,공군본부,공군 아동학대예방 원격교육_11차수
2021,방위사업청,분석평가와 관련 법령_1차수
2021,방위사업청,분석평가의 이해_1차수
2021,방위사업청,비용분석/EVMS_1차수
2021,방위사업청,사례로 배우는 청탁금지법_1차수
2021,방위사업청,사업성과관리(EVM) 이해_1차수
2021,방위사업청,사업착수이전단계 업무_1차수
2021,방위사업청,사후분석 절차/사례_1차수
2021,방위사업청,상업구매 관리_1차수
2021,방위사업청,성과관리(EVM) 실무_1차수
2021,방위사업청,"세상을 바꾸는 힘, 공익신고_1차수"
2021,방위사업청,시설사업기본계획수립_1차수
2021,방위사업청,신개념기술시범 사업절차 이해_1차수
2021,방위사업청,알기 쉬운 이해충돌방지법_1차수
2021,방위사업청,알기쉬운 공직자 행동강령_1차수
2021,방위사업청,알기쉬운 방산원가 및 계약제도_1차수
2021,방위사업청,언론홍보 전략 및 보도자료 작성법_1차수
2021,방위사업청,연구개발 정책 (2012년)_1차수
2021,방위사업청,연구개발사업 규격화 업무_1차수
2021,방위사업청,분석평가방법론_1차수
2021,방위사업청,분석평가_1차수
2021,방위사업청,분산 시뮬레이션 아키텍쳐_1차수
2021,방위사업청,무기체계연구개발 사업관리절차_1차수
2021,방위사업청,무역실무_1차수
2021,방위사업청,민원실무_1차수
2021,방위사업청,방산기술 보호 및 관리_1차수
2021,방위사업청,방산수출 정책 및 제도_1차수
2021,방위사업청,방산수출입통제 제도의 이해_1차수
2021,방위사업청,방산원가 대상물자의 원가계산_1차수
2021,방위사업청,방산제비율_1차수
2021,방위사업청,방위사업 개요 (2011년)_1차수
2021,방위사업청,방위사업 관리체계 및 절차_1차수
2021,방위사업청,방위사업 정책 (2012년)_1차수
2021,방위사업청,방위사업계약 특례_1차수
2021,방위사업청,방위사업법령/규정_1차수
2021,방위사업청,방위사업청 성과관리와 평가제도_1차수
2021,방위사업청,방위산업정책 (2008년)_1차수
2021,방위사업청,방위살림꾼 기초지식_1차수
2021,방위사업청,보안교육 (2008년)_1차수
2021,방위사업청,부패상황 자각하기_1차수
2021,방위사업청,온라인 방위산업기술보호 교육_1차수
2021,방위사업청,원가분석사 1차 대비과정_1차수
2021,방위사업청,원가분석사 2차 대비과정_1차수
2021,방위사업청,청 정보화 소개_1차수
2021,방위사업청,청렴 방위사업 세미나_1차수
2021,방위사업청,"청렴, 미래를 위한 약속_1차수"
2021,방위사업청,청탁금지법의 이해_1차수
2021,방위사업청,체계공학 SE 이해_1차수
2021,방위사업청,품질관리_1차수
2021,방위사업청,프로젝트 관리 지식체계 소개_1차수
2021,방위사업청,프로젝트 범위관리_1차수
2021,방위사업청,프로젝트 의사소통관리_1차수
2021,방위사업청,프로젝트 인적자원관리_1차수
2021,방위사업청,프로젝트 일정관리_1차수
2021,방위사업청,프로젝트 통합관리_1차수
2021,방위사업청,프로젝트 품질관리_1차수
2021,방위사업청,프로젝트관리 개요_1차수
2021,방위사업청,한국정치와 방위사업(김종대 前의원 특강)_1차수
2021,방위사업청,한반도 통일 역사와 문화유산_1차수
2021,방위사업청,협상기법_1차수
2021,방위사업청,획득관리와 체계공학_1차수
2021,방위사업청,지출관리_1차수
2021,방위사업청,종합군수지원_1차수
2021,방위사업청,조달계획 예산관리_1차수
2021,방위사업청,위험관리_1차수
2021,방위사업청,응급처치법(심폐소생술)_1차수
2021,방위사업청,이해충돌방지법 길라잡이 교육 영상(국민권익위원회)_1차수
2021,방위사업청,이해충돌방지법_1차수
2021,방위사업청,자체 수준측정 업무수행 절차_1차수
2021,방위사업청,장애인식개선 통합교육(직장내 및 사회적 인식개선)_1차수
2021,방위사업청,장애인식개선교육인식의 길라잡이_1차수
2021,방위사업청,장애인식개선교육인식의 새로고침_1차수
2021,방위사업청,적극행정 초빙교육(기본 및 심화)_1차수
2021,방위사업청,전력발전업무 (2018년)_1차수
2021,방위사업청,전장관리정보체계_1차수
2021,방위사업청,전장변화와 전력소요기획_1차수
2021,방위사업청,정보공개제도_1차수
2021,방위사업청,정보보안_1차수
2021,방위사업청,정부계약 개요_1차수
2021,방위사업청,정부계약제도_1차수
2021,방위사업청,정부조달협정_1차수
2021,방위사업청,제안요청서 작성 및 제안서 평가_1차수
2021,방위사업청,무기체계 주파수 획득절차_1차수
2021,방위사업청,무기체계 상호운용성 정책_1차수
2021,방위사업청,<시범제작> 신박한 정리_요구도 관리_1차수
2021,방위사업청,<시범제작> 알기 쉬운 계약! 계약? 계약이 뭐예요?_1차수
2021,방위사업청,<시범제작> 알기 쉬운 국제부품 확정계약_1차수
2021,방위사업청,<시범제작> 예산편성 제도의 실제_1차수
2021,방위사업청,<시범제작> 전장변화와 전력소요 기획_1차수
2021,방위사업청,<시범제작> 절충교역 관련 용어 해설_1차수
2021,방위사업청,<시범제작> 청 직원이면 꼭 알아야 할 방위사업 기본개념_1차수
2021,방위사업청,<시범제작> 초보자도 쉽게 따라할 수 있는 연구개발사업 협상 Knowhow_1차수
2021,방위사업청,<시범제작> 최근 한국 방위사업의 정책 - 신속획득제도를 중심으로_1차수
2021,방위사업청,<시범제작> 통합체계지원(IPS)의 이해_1차수
2021,방위사업청,<시범제작> 패키지 시설사업의 이해_1차수
2021,방위사업청,<시범제작> 행정기본법_1차수
2021,방위사업청,<시범제작> 행정소송법_1차수
2021,방위사업청,"<시범제작> 헌법, 법령체계의 이해_1차수"
2021,방위사업청,AI를 활용한 공공서비스 기획_1차수
2021,방위사업청,EVMS 소개_1차수
2021,방위사업청,FMS 가격구성 및 대금지불_1차수
2021,방위사업청,FMS구매 관리_1차수
2021,방위사업청,<시범제작> 신박한 정리 - 항공무기체계 개론_1차수
2021,방위사업청,<시범제작> 사례를 통해 알아보는 구매사업 절차_1차수
2021,방위사업청,<시범제작> 분석평가의 개념과 역할_1차수
2021,방위사업청,"'공직자로 청렴하게 살아가는 방법, 이해충돌방지법'_1차수"
2021,방위사업청,"(고위급) '21년 성인지력 향상 및 성매매, 가정폭력 예방교육_1차수"
2021,방위사업청,"(과/팀장급,담당급) '21년 성인지력 향상 및 성매매, 가정폭력 예방교육_1차수"
2021,방위사업청,(신)개인정보보호법 이해하기_1차수
2021,방위사업청,2020 적극행정 추진방안_1차수
2021,방위사업청,"2020년 하반기 성희롱, 가정폭력 예방교육(집합대체)_1차수"
2021,방위사업청,2021년 을지태극연습 안보교육 영상_1차수
2021,방위사업청,21-1차 양산관리과정_1차수
2021,방위사업청,4대폭력 예방교육_1차수
2021,방위사업청,"<시범제작>  EMI, EMC로 보는 협상우위 선점을 위한 찐 꿀팁 하나_1차수"
2021,방위사업청,<시범제작> FMS 구매 관련 용어 해설_1차수
2021,방위사업청,<시범제작> 계약 관련 보증서 관리방법_1차수
2021,방위사업청,<시범제작> 계약의 개념 및 요건_1차수
2021,방위사업청,<시범제작> 국제 무역거래 흐름 - 방위사업청 국외구매 계약을 중심으로_1차수
2021,방위사업청,<시범제작> 국제계약시 대금결제 방법_1차수
2021,방위사업청,<시범제작> 기술관리 일반_1차수
2021,방위사업청,<시범제작> 방위사업 정책의 이해_1차수
2021,방위사업청,<시범제작> 방위사업법 - 계약 법리를 중심으로_1차수
2021,방위사업청,FMS제도 개요_1차수
2021,방위사업청,M&S VV&A_1차수
2021,방위사업청,M&S 기반 교육훈련_1차수
2021,방위사업청,국방계약 원가관리_1차수
2021,방위사업청,국방과학기술정책/실행계획_1차수
2021,방위사업청,국방과학기술정책과 기획_1차수
2021,방위사업청,국방기획관리_1차수
2021,방위사업청,국방목록업무_1차수
2021,방위사업청,"국방표준종합정보시스템(KDSIS,규격)_1차수"
2021,방위사업청,국제계약 개요(상업구매)_1차수
2021,방위사업청,국제계약 표준조건 해설_1차수
2021,방위사업청,국제계약절차_1차수
2021,방위사업청,국제운송업무 및 보험_1차수
2021,방위사업청,규격관리_1차수
2021,방위사업청,기본원가 이론 및 산정방법_1차수
2021,방위사업청,기술관리의 이해_1차수
2021,방위사업청,긴급복지지원 신고의무자교육_1차수
2021,방위사업청,나토목록체계 (2016년)_1차수
2021,방위사업청,데이터 리터러시_1차수
2021,방위사업청,무기체계 SW정책소개_1차수
2021,방위사업청,무기체계 개요_1차수
2021,방위사업청,국민권익위원장 초청 온택트 청렴특강_1차수
2021,방위사업청,국내조달 관리_1차수
2021,방위사업청,국가계약법_1차수
2021,방위사업청,M&S 기반 소요개발_1차수
2021,방위사업청,M&S 기반 시험평가_1차수
2021,방위사업청,M&S 기반 연구개발_1차수
2021,방위사업청,M&S 기술 총론(중급)_1차수
2021,방위사업청,M&S 기술 총론(초급)_1차수
2021,방위사업청,M&S 기초_1차수
2021,방위사업청,M&S 체계 사업관리_1차수
2021,방위사업청,RAM 제도 업무 소개_1차수
2021,방위사업청,SBA_1차수
2021,방위사업청,SE프로세스기반 기술개발 및 관리 사례_1차수
2021,방위사업청,감사_1차수
2021,방위사업청,갑질 근절 교육_1차수
2021,방위사업청,고충민원대응기법 및 사례분석_1차수
2021,방위사업청,공공부문 아동학대 예방교육_1차수
2021,방위사업청,공공부문 아동학대 예방교육_2차수
2021,방위사업청,공공재정환수법_1차수
2021,방위사업청,공공재정환수법의 이해_1차수
2021,방위사업청,공직자 안보교육_1차수
2021,방위사업청,공공재정환수법_1차수
2021,방위사업청,공공부문 아동학대 예방교육_2차수
2021,방위사업청,공공부문 아동학대 예방교육_1차수
2021,방위사업청,고충민원대응기법 및 사례분석_1차수
2021,방위사업청,갑질 근절 교육_1차수
2021,방위사업청,감사_1차수
2021,방위사업청,SE프로세스기반 기술개발 및 관리 사례_1차수
2021,방위사업청,SBA_1차수
2021,방위사업청,RAM 제도 업무 소개_1차수
2021,방위사업청,M&S 체계 사업관리_1차수
2021,방위사업청,M&S 기초_1차수
2021,방위사업청,M&S 기술 총론(초급)_1차수
2021,방위사업청,M&S 기술 총론(중급)_1차수
2021,방위사업청,M&S 기반 연구개발_1차수
2021,방위사업청,M&S 기반 시험평가_1차수
2021,방위사업청,무기체계 상호운용성 정책_1차수
2021,방위사업청,M&S 기반 교육훈련_1차수
2021,방위사업청,M&S VV&A_1차수
2021,방위사업청,데이터 리터러시_1차수
2021,방위사업청,공공재정환수법의 이해_1차수
2021,방위사업청,공직자 안보교육_1차수
2021,방위사업청,나토목록체계 (2016년)_1차수
2021,방위사업청,긴급복지지원 신고의무자교육_1차수
2021,방위사업청,기술관리의 이해_1차수
2021,방위사업청,기본원가 이론 및 산정방법_1차수
2021,방위사업청,규격관리_1차수
2021,방위사업청,국제운송업무 및 보험_1차수
2021,방위사업청,국제계약절차_1차수
2021,방위사업청,국제계약 표준조건 해설_1차수
2021,방위사업청,국제계약 개요(상업구매)_1차수
2021,방위사업청,"국방표준종합정보시스템(KDSIS,규격)_1차수"
2021,방위사업청,국방목록업무_1차수
2021,방위사업청,국방기획관리_1차수
2021,방위사업청,국방과학기술정책과 기획_1차수
2021,방위사업청,국방과학기술정책/실행계획_1차수
2021,방위사업청,국방계약 원가관리_1차수
2021,방위사업청,국민권익위원장 초청 온택트 청렴특강_1차수
2021,방위사업청,국내조달 관리_1차수
2021,방위사업청,국가계약법_1차수
2021,방위사업청,FMS제도 개요_1차수
2021,방위사업청,FMS구매 관리_1차수
2021,방위사업청,<시범제작> 방위사업 정책의 이해_1차수
2021,방위사업청,<시범제작> 기술관리 일반_1차수
2021,방위사업청,<시범제작> 국제계약시 대금결제 방법_1차수
2021,방위사업청,<시범제작> 국제 무역거래 흐름 - 방위사업청 국외구매 계약을 중심으로_1차수
2021,방위사업청,<시범제작> 계약의 개념 및 요건_1차수
2021,방위사업청,<시범제작> 계약 관련 보증서 관리방법_1차수
2021,방위사업청,<시범제작> FMS 구매 관련 용어 해설_1차수
2021,방위사업청,"<시범제작>  EMI, EMC로 보는 협상우위 선점을 위한 찐 꿀팁 하나_1차수"
2021,방위사업청,4대폭력 예방교육_1차수
2021,방위사업청,21-1차 양산관리과정_1차수
2021,방위사업청,2021년 을지태극연습 안보교육 영상_1차수
2021,방위사업청,"2020년 하반기 성희롱, 가정폭력 예방교육(집합대체)_1차수"
2021,방위사업청,2020 적극행정 추진방안_1차수
2021,방위사업청,(신)개인정보보호법 이해하기_1차수
2021,방위사업청,"(과/팀장급,담당급) '21년 성인지력 향상 및 성매매, 가정폭력 예방교육_1차수"
2021,방위사업청,"(고위급) '21년 성인지력 향상 및 성매매, 가정폭력 예방교육_1차수"
2021,방위사업청,"'공직자로 청렴하게 살아가는 방법, 이해충돌방지법'_1차수"
2021,방위사업청,M&S 기반 소요개발_1차수
2021,방위사업청,<시범제작> 방위사업법 - 계약 법리를 중심으로_1차수
2021,방위사업청,<시범제작> 분석평가의 개념과 역할_1차수
2021,방위사업청,<시범제작> 사례를 통해 알아보는 구매사업 절차_1차수
2021,방위사업청,FMS 가격구성 및 대금지불_1차수
2021,방위사업청,EVMS 소개_1차수
2021,방위사업청,AI를 활용한 공공서비스 기획_1차수
2021,방위사업청,"<시범제작> 헌법, 법령체계의 이해_1차수"
2021,방위사업청,<시범제작> 행정소송법_1차수
2021,방위사업청,<시범제작> 행정기본법_1차수
2021,방위사업청,<시범제작> 패키지 시설사업의 이해_1차수
2021,방위사업청,<시범제작> 통합체계지원(IPS)의 이해_1차수
2021,방위사업청,<시범제작> 최근 한국 방위사업의 정책 - 신속획득제도를 중심으로_1차수
2021,방위사업청,<시범제작> 초보자도 쉽게 따라할 수 있는 연구개발사업 협상 Knowhow_1차수
2021,방위사업청,<시범제작> 청 직원이면 꼭 알아야 할 방위사업 기본개념_1차수
2021,방위사업청,<시범제작> 절충교역 관련 용어 해설_1차수
2021,방위사업청,<시범제작> 전장변화와 전력소요 기획_1차수
2021,방위사업청,<시범제작> 예산편성 제도의 실제_1차수
2021,방위사업청,<시범제작> 알기 쉬운 국제부품 확정계약_1차수
2021,방위사업청,<시범제작> 알기 쉬운 계약! 계약? 계약이 뭐예요?_1차수
2021,방위사업청,<시범제작> 신박한 정리_요구도 관리_1차수
2021,방위사업청,<시범제작> 신박한 정리 - 항공무기체계 개론_1차수
2021,방위사업청,무기체계 SW정책소개_1차수
2021,방위사업청,무기체계 개요_1차수
2021,방위사업청,청 정보화 소개_1차수
2021,방위사업청,정부조달협정_1차수
2021,방위사업청,정부계약제도_1차수
2021,방위사업청,정부계약 개요_1차수
2021,방위사업청,정보보안_1차수
2021,방위사업청,정보공개제도_1차수
2021,방위사업청,전장변화와 전력소요기획_1차수
2021,방위사업청,전장관리정보체계_1차수
2021,방위사업청,전력발전업무 (2018년)_1차수
2021,방위사업청,적극행정 초빙교육(기본 및 심화)_1차수
2021,방위사업청,장애인식개선교육인식의 새로고침_1차수
2021,방위사업청,장애인식개선교육인식의 길라잡이_1차수
2021,방위사업청,장애인식개선 통합교육(직장내 및 사회적 인식개선)_1차수
2021,방위사업청,자체 수준측정 업무수행 절차_1차수
2021,방위사업청,이해충돌방지법_1차수
2021,방위사업청,이해충돌방지법 길라잡이 교육 영상(국민권익위원회)_1차수
2021,방위사업청,응급처치법(심폐소생술)_1차수
2021,방위사업청,위험관리_1차수
2021,방위사업청,원가분석사 2차 대비과정_1차수
2021,방위사업청,제안요청서 작성 및 제안서 평가_1차수
2021,방위사업청,조달계획 예산관리_1차수
2021,방위사업청,종합군수지원_1차수
2021,방위사업청,획득관리와 체계공학_1차수
2021,방위사업청,협상기법_1차수
2021,방위사업청,한반도 통일 역사와 문화유산_1차수
2021,방위사업청,한국정치와 방위사업(김종대 前의원 특강)_1차수
2021,방위사업청,프로젝트관리 개요_1차수
2021,방위사업청,프로젝트 품질관리_1차수
2021,방위사업청,프로젝트 통합관리_1차수
2021,방위사업청,프로젝트 일정관리_1차수
2021,방위사업청,프로젝트 인적자원관리_1차수
2021,방위사업청,프로젝트 의사소통관리_1차수
2021,방위사업청,프로젝트 범위관리_1차수
2021,방위사업청,프로젝트 관리 지식체계 소개_1차수
2021,방위사업청,품질관리_1차수
2021,방위사업청,체계공학 SE 이해_1차수
2021,방위사업청,청탁금지법의 이해_1차수
2021,방위사업청,"청렴, 미래를 위한 약속_1차수"
2021,방위사업청,청렴 방위사업 세미나_1차수
2021,방위사업청,지출관리_1차수
2021,방위사업청,원가분석사 1차 대비과정_1차수
2021,방위사업청,온라인 방위산업기술보호 교육_1차수
2021,방위사업청,연구개발사업 규격화 업무_1차수
2021,방위사업청,보안교육 (2008년)_1차수
2021,방위사업청,방위살림꾼 기초지식_1차수
2021,방위사업청,방위산업정책 (2008년)_1차수
2021,방위사업청,방위사업청 성과관리와 평가제도_1차수
2021,방위사업청,방위사업법령/규정_1차수
2021,방위사업청,방위사업계약 특례_1차수
2021,방위사업청,방위사업 정책 (2012년)_1차수
2021,방위사업청,방위사업 관리체계 및 절차_1차수
2021,방위사업청,방위사업 개요 (2011년)_1차수
2021,방위사업청,방산제비율_1차수
2021,방위사업청,방산원가 대상물자의 원가계산_1차수
2021,방위사업청,방산수출입통제 제도의 이해_1차수
2021,방위사업청,방산수출 정책 및 제도_1차수
2021,방위사업청,방산기술 보호 및 관리_1차수
2021,방위사업청,민원실무_1차수
2021,방위사업청,무역실무_1차수
2021,방위사업청,무기체계연구개발 사업관리절차_1차수
2021,방위사업청,무기체계 주파수 획득절차_1차수
2021,방위사업청,부패상황 자각하기_1차수
2021,방위사업청,분산 시뮬레이션 아키텍쳐_1차수
2021,방위사업청,분석평가_1차수
2021,방위사업청,연구개발 정책 (2012년)_1차수
2021,방위사업청,언론홍보 전략 및 보도자료 작성법_1차수
2021,방위사업청,알기쉬운 방산원가 및 계약제도_1차수
2021,방위사업청,알기쉬운 공직자 행동강령_1차수
2021,방위사업청,알기 쉬운 이해충돌방지법_1차수
2021,방위사업청,신개념기술시범 사업절차 이해_1차수
2021,방위사업청,시설사업기본계획수립_1차수
2021,방위사업청,"세상을 바꾸는 힘, 공익신고_1차수"
2021,방위사업청,성과관리(EVM) 실무_1차수
2021,방위사업청,상업구매 관리_1차수
2021,방위사업청,사후분석 절차/사례_1차수
2021,방위사업청,사업착수이전단계 업무_1차수
2021,방위사업청,사업성과관리(EVM) 이해_1차수
2021,방위사업청,사례로 배우는 청탁금지법_1차수
2021,방위사업청,비용분석/EVMS_1차수
2021,방위사업청,분석평가의 이해_1차수
2021,방위사업청,분석평가와 관련 법령_1차수
2021,방위사업청,분석평가방법론_1차수
2022,방위사업청,사례로 배우는 청탁금지법(2022년 최신)_1차수
2022,방위사업청,비용분석/EVMS_1차수
2022,방위사업청,분석평가의 이해_1차수
2022,방위사업청,분석평가와 관련 법령_1차수
2022,방위사업청,분석평가방법론_1차수
2022,방위사업청,분석평가_1차수
2022,방위사업청,분산 시뮬레이션 아키텍쳐_1차수
2022,방위사업청,부패상황 자각하기_1차수
2022,방위사업청,부패상황 자각하기(2022년 최신)_1차수
2022,방위사업청,방위살림꾼 기초지식_1차수
2022,방위사업청,사례로 배우는 청탁금지법_1차수
2022,방위사업청,사례로 보는 기록관리의 중요성_1차수
2022,방위사업청,사업성과관리(EVM) 이해_1차수
2022,방위사업청,사업착수이전단계 업무_1차수
2022,방위사업청,사후분석 절차/사례_1차수
2022,방위사업청,상업구매 관리_1차수
2022,방위사업청,성과관리(EVM) 실무_1차수
2022,방위사업청,성인지력향상 과정(젠더감수성의 이해)_1차수
2022,방위사업청,세상을 바꾸는 힘 공익신고(2022년 최신)_1차수
2022,방위사업청,"세상을 바꾸는 힘, 공익신고_1차수"
2022,방위사업청,소방 교육 및 훈련_1차수
2022,방위사업청,시설사업기본계획수립_1차수
2022,방위사업청,신개념기술시범 사업절차 이해_1차수
2022,방위사업청,방위산업정책 (2008년)_1차수
2022,방위사업청,방위사업청 성과관리와 평가제도_1차수
2022,방위사업청,방위사업법령/규정_1차수
2022,방위사업청,장애인식개선교육인식의 새로고침_1차수
2022,방위사업청,미래첨단기술(메타버스) : 2. 지능형 증강현실(AR) 서비스_1차수
2022,방위사업청,미래첨단기술(메타버스) : 3. 실사기반 3D 가상공간 구축 및 응용_1차수
2022,방위사업청,미래첨단기술(메타버스) : 4. AI기반의 메타버스 환경 패션상품 제작_1차수
2022,방위사업청,미래첨단기술(메타버스) : 5. AI기반의 메타버스의 도래와  디지털 휴먼기_1차수
2022,방위사업청,미래첨단기술(메타버스) : 6. 확장현실(XR) 기술 및 융합 산업_1차수
2022,방위사업청,미래첨단기술(메타버스) : 7. 전투원 위치공간 인지증강 AR/MR 서비스_1차수
2022,방위사업청,미래첨단기술(메타버스) : 8. 국방 메타버스 VR 훈련시스템_1차수
